ElecNo,MPNo,PartyName,NameTitle,MPFirstName,MPLastName,PartyStatus
6,30,ประชาธิปไตยใหม่,นาย,ลาภวัต,สุริยสกุลลาภ,ยังดำเนินการอยู่
7,1,ประชาชาติ,นาย,ธัญญธำรง,อัศวนนท์,ยังดำเนินการอยู่
7,2,ประชาชนปฏิรูป,นาย,พรมงคล,ศรีดี,ยังดำเนินการอยู่
7,3,อนาคตใหม่,นาย,ปิยะชาติ,อำนวยเวช,ยังดำเนินการอยู่
7,4,พลังประชารัฐ,นางสาว,ธณิกานต์,พรพงษาโรจน์,ยังดำเนินการอยู่
7,5,ประชาภิวัฒน์,นาย,กัษณ,เข็มเพ็ชร,ยังดำเนินการอยู่
7,6,ชาติพัฒนา,นาย,วิโรจน์,จิตรอบอารีย์,ยังดำเนินการอยู่
7,7,เสรีรวมไทย,นาย,วรินทร,สิรรมย์,ยังดำเนินการอยู่
7,8,ชาติไทยพัฒนา,นาย,ปฐมพร,ทิมเพชร,ยังดำเนินการอยู่
7,9,ไทยศรีวิไลย์,นางสาว,กฤษยากร,สรชัย,ยังดำเนินการอยู่
7,10,เพื่อแผ่นดิน,นาย,สมชาติ,อ่อนประดิษฐ์,ยังดำเนินการอยู่
7,11,รวมพลังประชาชาติไทย,นาย,กันตพล,กิตติธากรณ์,ยังดำเนินการอยู่
7,12,พลังท้องถิ่นไท,นาง,พิมพ์อร,คงอุดม,ยังดำเนินการอยู่
7,13,เพื่อชาติ,นางสาว,โพยมราษี ,ฤกษ์สำราญ,ยังดำเนินการอยู่
7,14,ภูมิใจไทย,นาย,อัครนันท์,อริยศรีพงษ์,ยังดำเนินการอยู่
7,15,ประชาธิปัตย์,นาย,คณวัฒน์ ,จันทรลาวัณย์,ยังดำเนินการอยู่
7,16,รักษ์ผืนป่าประเทศไทย,พลโทหญิง,พงษ์รุจี,ศิริวัฒนะ,ยังดำเนินการอยู่
7,17,เพื่อไทย,ร้อยตำรวจเอก,วัฒนรักษ์ ,สุรนาทยุทธ์,ยังดำเนินการอยู่
7,18,ประชานิยม,นาย,พีรยุทธ,อินทรสุวรรณ,ยังดำเนินการอยู่
7,19,พลังศรัทธา,พันเอก,สันติ,โอเงิน,ยังดำเนินการอยู่
7,20,พลังปวงชนไทย,นาย,อริยะ,ฮุยลัน,ยังดำเนินการอยู่
7,21,ภราดรภาพ,นางสาว,ศจีกาญจน์,สรรพช่าง,ยังดำเนินการอยู่
7,22,เศรษฐกิจใหม่,นาย,ณัทพสิษฐ์ ,ประสานวงศ์,ยังดำเนินการอยู่
7,23,ครูไทยเพื่อประชาชน,นาย,กิติพันธ์ ,นันทะสีวะลี,ยังดำเนินการอยู่
7,24,พลังชาติไทย,นาย,วโรภาส,แสงเพชร,ยังดำเนินการอยู่
7,25,มติประชา,นาย,รัฐโรจน์,ประสิทธิ์พรกุล,ยังดำเนินการอยู่
7,26,แผ่นดินธรรม,นาย,วิสุทธิ์,โพธิ์ศรี,ยังดำเนินการอยู่
7,27,กลาง,นาย,นิธิศ,ศรีแย้ม,ยังดำเนินการอยู่
7,28,ประชาธรรมไทย,นาย,อิทธิพล,ตัตวธร,ยังดำเนินการอยู่
7,29,ประชากรไทย,ร้อยตำรวจตรี,เสน่ห์,ชัยทร,ยังดำเนินการอยู่
7,30,มหาชน,นาย,สันต์สุข,ไตรเพทพิสัย,ยังดำเนินการอยู่
7,31,ไทรักธรรม,นาย,กิตติพศ,กากาเคน,ยังดำเนินการอยู่
8,1,เพื่อชาติ,นางสาว,วีรินทร์,ตันเสรีสกุล,ยังดำเนินการอยู่
8,2,พลังประชารัฐ,นาย,กษิดิ์เดช,ชุติมันต์,ยังดำเนินการอยู่
8,3,ภูมิใจไทย,นาง,จิณณา,สืบสายไทย,ยังดำเนินการอยู่
8,4,ประชาชาติ,นาย,ศิรธันย์,แสงสินธุศร,ยังดำเนินการอยู่
8,5,ประชาภิวัฒน์,นาย,สิทธา,แจ้งสุข,ยังดำเนินการอยู่
8,6,เพื่อไทย,ร้อยโทหญิง,สุณิสา,ทิวากรดำรง,ยังดำเนินการอยู่
8,7,เสรีรวมไทย,นางสาว,ปิณญาดา,ตันติมนตรี,ยังดำเนินการอยู่
8,8,ชาติพัฒนา,นาย,กรกฤษณ์,วงศ์คุณหยก,ยังดำเนินการอยู่
8,9,พลังธรรมใหม่,นาย,ผนึก,ธัญรส,ยังดำเนินการอยู่
8,10,ชาติไทยพัฒนา,นางสาว,วราไพรินทร์,ธนวริสพร,ยังดำเนินการอยู่
8,11,รวมพลังประชาชาติไทย,นาย,เจษฎา,ศรีสุข,ยังดำเนินการอยู่
8,12,อนาคตใหม่,นาย,ธนเดช,เพ็งสุข,ยังดำเนินการอยู่
8,13,ประชาชนปฏิรูป,นาย,ปราช,จันทองจีน,ยังดำเนินการอยู่
8,14,ไทยศรีวิไลย์,นาย,ทนงศักดิ์,รักอารมณ์,ยังดำเนินการอยู่
8,15,พลังท้องถิ่นไท,นางสาว,วันสว่าง,เต็มชำนาญ,ยังดำเนินการอยู่
8,16,ประชาธิปัตย์,นาย,สรรเสริญ,สมะลาภา,ยังดำเนินการอยู่
8,17,ประชานิยม,นางสาว,ณัฐภรณ์,ชมตระกูล,ยังดำเนินการอยู่
8,18,ภราดรภาพ,นาย,รัชพล,เกิดศิลป์,ยังดำเนินการอยู่
8,19,รักษ์ผืนป่าประเทศไทย,นาง,ธนพรรณ,ศุณะมาลัย,ยังดำเนินการอยู่
8,20,กลาง,นาย,สนั่น,พานทอง,ยังดำเนินการอยู่
8,21,ประชาธิปไตยใหม่,นาย,ประสิทธิ์,พงษ์สมบัติ,ยังดำเนินการอยู่
8,22,เศรษฐกิจใหม่,นาง,สุมาลี,อินทะสุข,ยังดำเนินการอยู่
8,23,ครูไทยเพื่อประชาชน,นางสาว,ธัญญธร,ยุวจิตติ,ยังดำเนินการอยู่
8,24,พลังชาติไทย,นางสาว,รุ้งเพชร,ดิษฐศิริ,ยังดำเนินการอยู่
8,25,พลังรัก,นาย,ปริชัย,ณิชกุลบุญเพ็ง,ยังดำเนินการอยู่
8,26,มหาชน,นางสาว,ภิญญาภรณ์,คงพิทักษ์,ยังดำเนินการอยู่
8,27,ประชาไทย,นางสาว,สิริอร,ลักษมีธนานันต์,ยังดำเนินการอยู่
8,28,เพื่อนไทย,นาย,สันติ,การะลพ,ยังดำเนินการอยู่
8,29,พลเมืองไทย,นางสาว,สุธาสินี,ลาเสือ,ยังดำเนินการอยู่
8,30,ประชาธรรมไทย,นาย,ชัยชนะ,วงศ์จรรยา,ยังดำเนินการอยู่
8,31,มติประชา,นางสาว,เบญสิร์ยา,อภิปัญรัศมิ์,ยังดำเนินการอยู่
8,32,ภาคีเครือข่ายไทย,นางสาว,เบญจพร,ชำนิราชกิจ,ยังดำเนินการอยู่
8,33,ถิ่นกาขาวชาววิไล,นาย,ไพฑูรย์,จันทร์วิบูลย์,ยังดำเนินการอยู่
